,International students by country of citizenship and sub-sector 2013-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country of citizenship ,Universities,,,,,,,,,,Te P?kenga,,,,,,,,,,W?nanga,,,,,,,,,,Public providers,,,,,,,,,,Private training establishments,,,,,,,,,,Total,,,,,,,,,,,
,Kiribati,35,40,45,40,40,50,45,35,35,35,15,15,15,20,20,10,10,5,5,10,0,0,0,0,0,0,0,0,0,0,50,55,60,60,60,60,50,45,40,45,5,5,5,5,5,0,5,0,0,5,50,55,65,60,60,60,55,45,40,45,,
,Ghana,25,35,50,65,65,50,50,55,50,45,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,30,40,55,70,70,55,50,55,50,45,0,0,0,5,5,5,5,5,0,0,30,40,55,75,75,55,55,60,50,45,,
,Egypt,15,20,20,25,35,50,55,55,45,40,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,15,20,25,30,40,55,60,60,45,40,5,5,5,5,5,5,5,5,5,5,20,25,25,35,45,60,65,60,50,40,,
,Netherlands,90,90,95,115,140,130,125,80,50,35,10,15,20,15,20,25,20,10,5,5,0,0,0,0,0,0,0,0,5,0,105,110,110,130,160,155,145,85,60,40,25,20,20,10,5,5,5,5,5,5,130,125,130,140,165,160,155,95,65,40,,
,Jordan,35,35,35,45,45,50,40,45,40,35,5,5,5,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,40,35,35,45,45,50,45,45,40,35,0,5,5,0,5,0,0,5,5,5,40,40,40,45,45,50,45,45,40,35,,
,Laos,50,65,70,70,85,80,90,80,40,30,40,30,20,15,20,15,10,5,5,5,0,0,0,0,0,0,0,0,0,0,75,95,90,85,105,95,100,85,45,35,0,5,5,5,5,5,5,5,5,5,75,95,95,85,105,100,105,90,45,35,,
,Kenya,45,40,35,30,35,35,35,40,30,25,30,45,70,95,100,70,40,20,10,5,0,0,0,0,0,0,0,0,0,0,75,85,105,130,135,105,75,55,40,30,5,5,5,5,5,5,5,5,5,5,75,90,110,135,140,110,80,60,45,35,,
,Sweden,70,55,65,85,90,90,90,55,25,20,35,15,15,15,15,15,15,5,5,5,0,0,0,0,0,0,0,0,0,0,110,70,80,100,105,105,105,60,25,20,25,25,25,25,20,20,20,5,5,10,135,95,105,125,125,130,125,65,30,35,,
,Argentina,20,10,10,15,20,25,25,25,15,15,10,20,10,20,15,20,20,25,20,10,0,0,0,0,0,0,0,0,0,0,30,30,25,30,30,45,45,50,35,25,40,35,35,25,15,20,25,15,10,5,70,60,60,55,45,65,70,70,45,30,,
,Maldives,40,35,35,30,25,30,35,35,30,30,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,35,35,35,35,35,30,30,5,5,5,5,5,5,5,0,0,0,45,40,45,40,35,35,35,35,30,30,,
,Zimbabwe,20,20,20,25,30,35,35,30,25,15,5,10,10,10,15,10,10,10,5,5,0,0,0,0,0,0,0,0,0,0,25,25,25,35,40,45,45,40,25,20,5,5,5,10,10,5,5,5,10,10,30,30,35,45,50,50,50,45,35,30,,
,Vanuatu,45,50,50,45,50,55,50,50,30,25,20,20,15,10,15,10,5,5,5,5,0,0,0,0,0,0,0,0,0,0,65,70,65,55,65,65,55,55,30,30,5,5,15,10,15,10,10,5,5,5,70,75,80,65,75,75,65,60,35,30,,
,Brunei Darussalam,80,85,90,80,70,70,50,45,35,30,5,5,5,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,80,90,95,85,75,70,50,45,35,30,0,5,0,5,10,15,15,15,5,0,80,90,95,90,80,90,65,60,35,30,,
,Peru,5,10,25,10,15,15,15,15,10,20,5,5,5,5,5,5,5,5,10,5,0,0,0,0,0,0,0,0,0,0,10,15,30,10,20,20,20,20,20,20,10,5,10,10,10,10,10,10,5,5,20,20,35,20,25,30,30,30,30,25,,
,Mauritius,15,20,20,15,25,30,35,30,25,20,5,10,20,25,25,30,30,15,10,5,0,0,0,0,0,0,0,0,0,0,20,30,35,40,50,60,60,45,35,25,5,5,5,10,10,5,10,10,5,5,20,30,40,55,60,65,70,50,40,25,,
,Turkey,20,20,25,25,15,20,20,20,20,20,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,25,25,30,30,25,25,25,25,25,25,15,15,10,5,5,5,0,5,0,0,40,40,40,35,25,25,25,25,25,25,,
,Spain,55,60,65,65,65,60,55,25,20,20,5,5,10,10,5,10,5,5,0,5,0,0,0,0,0,0,0,0,5,0,60,65,75,75,70,70,60,30,20,25,20,15,15,10,15,10,5,5,5,0,75,75,90,80,85,80,65,35,20,25,,
,Kazakhstan,35,25,25,25,15,10,15,15,10,10,5,5,10,10,20,20,15,15,10,10,0,0,0,0,0,0,0,0,0,0,40,30,35,35,30,35,30,30,20,15,15,15,10,15,20,15,15,15,10,10,55,45,45,50,50,50,45,45,30,25,,
,Switzerland,35,35,35,40,45,45,40,25,25,20,15,5,5,10,10,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,55,40,45,50,55,50,45,35,30,20,20,15,15,15,15,15,20,5,5,0,70,60,60,65,70,65,65,40,30,20,,
,Iraq,10,10,10,15,15,20,20,20,20,20,5,0,0,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,10,10,10,15,15,20,20,20,20,20,0,5,5,5,5,0,0,0,0,0,10,10,10,20,20,20,20,20,20,20,,
,Ireland,40,30,35,35,40,55,40,40,20,15,45,35,30,20,30,20,10,10,10,5,0,0,0,0,0,0,0,5,5,0,85,70,60,55,70,70,50,45,25,20,30,35,25,5,5,5,5,5,5,5,110,100,85,55,75,75,60,50,30,20,,
,Timor-Leste,60,55,60,55,55,60,55,45,25,20,10,5,10,10,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,65,60,70,65,65,70,55,50,25,20,5,0,5,5,5,0,5,0,0,0,65,60,70,65,70,70,60,50,25,20,,
,Tuvalu,15,30,30,30,35,25,25,20,20,15,10,5,5,5,15,15,10,10,5,5,0,0,0,0,0,0,0,0,0,0,25,30,35,40,50,40,35,30,25,15,0,0,0,0,5,5,5,0,0,5,25,30,35,40,50,40,35,30,25,15,,
,Belgium,15,15,20,15,5,15,20,15,15,15,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,5,0,15,20,25,20,10,20,20,20,15,15,5,5,5,5,5,5,5,0,0,0,20,20,25,20,10,20,20,20,15,15,,
,Norway,185,190,170,170,145,155,155,70,20,10,10,10,5,5,10,10,5,5,0,0,0,0,0,0,0,0,0,0,5,0,195,200,170,175,150,165,160,70,25,10,5,20,25,25,5,5,10,10,5,5,200,220,195,200,155,170,170,80,30,15,,
,Czechia,15,15,15,25,20,20,25,20,10,10,10,5,5,15,5,5,10,5,5,5,0,0,0,0,0,0,0,0,0,0,25,20,20,35,25,25,35,25,10,15,5,5,10,5,5,5,5,5,5,0,25,25,30,40,30,25,35,30,10,15,,
